"","X","RID","activity","ResponseId","Rank","Question","activity_orig","activity_grammarfix","activity_standard1","activity_standard2"
"626","721","70","hike","r_2twqc6r4uh3tzkz","2","q1_2","hike","hike","hike","hike"
"627","731","71","relax","r_11x8st3z2kfwmnv","2","q1_2","relax","relax","relax","relax, rest and unwind"
"628","741","72","photography","r_323fbwkmv5fn8ir","2","q1_2","photography ","photograph","photograph","photograph"
"629","751","73","trail running","r_2cqu5hcof7av4ng","2","q1_2","trail running","trail run","trail run","run"
"630","761","74","find inner peace","r_1k8pwcckgzrm9um","2","q1_2","find inner peace ","find inner peace","search for inner peace","peace and quiet"
"631","771","75","walk/hike","r_3codnezira30b6k","2","q1_2","walk/hike","hike/walk","hike/walk","hike/walk"
"632","781","76","walk","r_uxgpavkrmhppund","2","q1_2","walk","walk","walk","walk"
"633","791","77","ski","r_vvwtfbrhayt1zgl","2","q1_2","ski","ski","ski","ski"
"634","801","78","mountain bike","r_3jdnzj9weczzkzk","2","q1_2","mountain bike","mountain bike","mountain bike","mountain bike"
"635","811","79","sleep","r_1jd0lv7vlsyftpp","2","q1_2","sleep","sleep","sleep","sleep"
"636","821","80","biking","r_2vopqljenladfpq","2","q1_2","biking","bike","bike","bike"
"637","831","81","run","r_2xxerpw7avivavy","2","q1_2","run","run","run","run"
"638","841","82","mountain biking","r_21iuvlxbuvdfpkn","2","q1_2","mountain biking","mountain bike","mountain bike","mountain bike"
"639","851","83","rail trails great!!!!","r_1dfcw848llozihk","2","q1_2","rail trails great!!!!","rail trails great","rail trail great","rail trail great"
"640","861","84","hike","r_24dhrs9igrptqx4","2","q1_2","hike","hike","hike","hike"
"641","871","85","walk dogs","r_1m6pc2e9zwzsrjz","2","q1_2","walk dogs","walk pets","walk pets","walk pets"
"642","891","87","run","r_xqwdcbeaoznmf6n","2","q1_2","run ","run","run","run"
"643","901","88","breathe fresh air","r_1pwzl6luigz8gzp","2","q1_2","breathe fresh air","breathe fresh air","breathe fresh air","breathe fresh air"
"644","911","89","run","r_2uzigvedsmhoz5k","2","q1_2","run","run","run","run"
"645","921","90","hike","r_1erj07acp0jyizj","2","q1_2","hike","hike","hike","hike"
"646","931","91","bike","r_3fxjqnknywipu4t","2","q1_2","bike","bike","bike","bike"
"647","941","92","bike","r_quyv5d6lmj6dmev","2","q1_2","bike","bike","bike","bike"
"648","951","93","run","r_31rc8ymx2jqmnzy","2","q1_2","run","run","run","run"
"649","961","94","mountain bike","r_vcf0kk3wjvoj0wf","2","q1_2","mountain bike","mountain bike","mountain bike","mountain bike"
"650","971","95","bird watching","r_2shsjvhjt25i4vo","2","q1_2","bird watching","bird watch","bird view","bird view"
"651","981","96","exercise","r_y35kbg9iwai4y6j","2","q1_2","exercise","exercise","exercise","exercise"
"652","991","97","run","r_28bn2xh8bx48bvl","2","q1_2","run","run","run","run"
"653","1001","98","horseback","r_2dyxgnv8hmwwoyo","2","q1_2","horseback ","horseback ride","horseback ride","horseback ride"
"654","1011","99","hike","r_4tqaux2kxxatiup","2","q1_2","hike","hike","hike","hike"
"655","1021","100","bike","r_307sbhjw4ozyuw9","2","q1_2","bike","bike","bike","bike"
"656","1031","101","run","r_2pjkuewfid2u0kw","2","q1_2","run","run","run","run"
"657","1041","102","bird watching","r_2ti5qlaw2okfwvv","2","q1_2","bird watching","bird watch","bird view","bird view"
"658","1051","103","run for funexercise","r_1gjpsfhpwehhnu2","2","q1_2","run for fun / exercise ","run for fun and exercise","run for fun and exercise","run"
"659","1061","104","run","r_1f9rimqhati8ej0","2","q1_2","run","run","run","run"
"660","1071","105","get to know each other","r_3245agsls07a7v9","2","q1_2","get to know each other","get to know each other","get to know each other","get to know each other"
"661","1081","106","walk","r_bv9bf5wdbzcrwkb","2","q1_2","walk","walk","walk","walk"
"662","1091","107","eat","r_3ehq4sshryw9uwr","2","q1_2","eat","eat","eat","eat"
"663","1101","108","rock climb","r_2yf2glovrlfwmgj","2","q1_2","rock climb","rock climb","rock climb","rock climb"
"664","1111","109","meditate","r_3eezh9pmctwoqaa","2","q1_2","meditate ","meditate","meditate","meditate"
"665","1121","110","trail run","r_xc6dszqnyicu1oh","2","q1_2","trail run","trail run","trail run","run"
"666","1131","111","run","r_273qe4ulgjhlzpq","2","q1_2","run","run","run","run"
"667","1151","113","hike","r_1d5jkooxd09nwxv","2","q1_2","hike","hike","hike","hike"
"668","1161","114","mountain biking","r_2uwjv3dz4uyi48s","2","q1_2","mountain biking","mountain bike","mountain bike","mountain bike"
"669","1171","115","watch birds","r_1roez6kbovnsnme","2","q1_2","watch birds","bird watch","bird view","bird view"
"670","1181","116","id plants","r_anssipwxxsnlmib","2","q1_2","id plants","identify plants","identify plants","identify plants"
"671","1191","117","bike","r_2atipihunaoivao","2","q1_2","bike","bike","bike","bike"
"672","1201","118","eat snacks","r_3hlwl292p53s1in","2","q1_2","eat snacks","eat snacks","eat snacks","eat snacks"
"673","1211","119","watch wilflife","r_2szpqjxtvstmi9x","2","q1_2","watch wilflife","view wildlife","view wildlife","view wildlife"
"674","1221","120","pick up trash","r_3kmoc0t7e9xpk4y","2","q1_2","pick up trash","pick up trash","pick up trash","pick up trash"
"675","1231","121","birdwatch","r_9oteq71ill4tdlx","2","q1_2","birdwatch","bird watch","bird view","bird view"
"676","1241","122","hike","r_242iosv0bi32nny","2","q1_2","hike","hike","hike","hike"
"677","1251","123","backpack","r_rp6vhz8lmvq16hn","2","q1_2","backpack","backpack","backpack","backpack"
"678","1261","124","bike","r_2x7dkxtymmtvivo","2","q1_2","bike","bike","bike","bike"
"679","1271","125","view scenery","r_3kmgeixkq2cyzq4","2","q1_2","view scenery","view scenery","view scenery","view scenery"
"680","1281","126","relax in a natural environment","r_3fdtvdx3oaahlwd","2","q1_2","relax in a natural environment","relax in a natural environment","relax in a natural environment","relax, rest and unwind"
"681","1291","127","thruhike","r_1ou0ew9txwgiwmk","2","q1_2","thruhike","thru hike","thru hike","thru hike"
"682","1301","128","look at birds, flowers, insects...","r_2e3qoluxqsdhrbk","2","q1_2","look at birds, flowers, insects....","look at birds, flowers, insects...","view birds, flowers, insects...","view birds, flowers, insects..."
"683","1311","129","bike","r_2cckdmcfzizu0fc","2","q1_2","bike","bike","bike","bike"
"684","1321","130","observe wildlife","r_2drous88xuynhsa","2","q1_2","observe wildlife","observe wildlife","view wildlife","view wildlife"
"685","1331","131","bike","r_2ydsowftx4l4fua","2","q1_2","bike","bike","bike","bike"
"686","1341","132","observe surroundings","r_cpemoaglidv8rkh","2","q1_2","observe surroundings","observe surroundings","view surroundings","view surroundings"
"687","1351","133","enjoy scenery with otherss","r_2ppqzvhnp8gzvwk","2","q1_2","enjoy scenery with otherss","enjoy scenery with others","enjoy scenery with others","enjoy scenery with others"
"688","1361","134","observe wildlife","r_z2wwflshars03v3","2","q1_2","observe wildlife","observe wildlife","view wildlife","view wildlife"
"689","1371","135","bike","r_1nnrhwmaz0ipom5","2","q1_2","bike","bike","bike","bike"
"690","1381","136","meditate","r_3o6wng0qaxzyclu","2","q1_2","meditate","meditate","meditate","meditate"
"691","1391","137","hike for pleasure","r_2sdywodrnhzzd2b","2","q1_2","hike for pleasure","hike for pleasure","hike for pleasure","hike for pleasure"
"692","1401","138","picnic","r_3ch0z5qlcg1qq5l","2","q1_2","picnic ","picnic","picnic","picnic"
"693","1411","139","eat","r_2pbatlsa05afft6","2","q1_2","eat","eat","eat","eat"
"694","1421","140","bike","r_3nugl5ggldbmshe","2","q1_2","bike","bike","bike","bike"
"695","1431","141","backpack","r_3vzuzc9oo66dyxt","2","q1_2","backpack","backpack","backpack","backpack"
"696","1441","142","seek solitude","r_ywicxzhjyrahefn","2","q1_2","seek solitude","seek solitude","solitude","solitude"
"697","1451","143","birdwatch","r_27ezsoic6wv12nd","2","q1_2","birdwatch","bird watch","bird view","bird view"
"698","1461","144","take photos","r_2wm5katan81mwdc","2","q1_2","take photos","photograph","photograph","photograph"
"699","1471","145","enjoy the scenery","r_erf5aubmxebefez","2","q1_2","enjoy the scenery","enjoy scenery","enjoy scenery","enjoy scenery"
"700","1481","146","bike","r_xbkdyf08au085pf","2","q1_2","bike","bike","bike","bike"
"701","1491","147","sit","r_zshqfwq4kv7f9jh","2","q1_2","sit","sit","sit","sit"
"702","1501","148","snowshoe","r_2efnuzuxi3snu8v","2","q1_2","snowshoe","snowshoe","snowshoe","snowshoe"
"703","1521","150","identify anaimals","r_1iy1bn9mjjwfggs","2","q1_2","identify anaimals","identify animals","identify wildlife","identify wildlife"
"704","1531","151","snowshoe","r_3rl6ltagflsvr5e","2","q1_2","snowshoe","snowshoe","snowshoe","snowshoe"
"705","1541","152","run","r_9rdopcsovpd9srd","2","q1_2","run","run","run","run"
"706","1551","153","run","r_3s6bbwmfcjyvgks","2","q1_2","run","run","run","run"
"707","1561","154","photos","r_26bsj9ilqw0rtun","2","q1_2","photos","photograph","photograph","photograph"
"708","1571","155","bike","r_dgyar3bd5hdmpcz","2","q1_2","bike","bike","bike","bike"
"709","1581","156","view scenic places","r_3soj2risn3yevvn","2","q1_2","view scenic places","view scenic places","view scenic places","view scenic places"
"710","1591","157","hiking","r_qfrquxczujhpwq9","2","q1_2","hiking","hike","hike","hike"
"711","1601","158","photography","r_2dm3nnw3eeo8ixl","2","q1_2","photography","photograph","photograph","photograph"
"712","1611","159","walk","r_3sodm9kppo3bhzp","2","q1_2","walk","walk","walk","walk"
"713","1621","160","birding/herping","r_322umboucmr4v13","2","q1_2","birding/herping","birding/herping","birding/herping","birding/herping"
"714","1631","161","run","r_pavd2uzarylpmpr","2","q1_2","run","run","run","run"
"715","1641","162","rest","r_3hbb8qrjslpbior","2","q1_2","rest","rest","rest","relax, rest and unwind"
"716","1651","163","run","r_279aueo0o58a2xh","2","q1_2","run","run","run","run"
"717","1661","164","bike","r_3frzufzcoevccpx","2","q1_2","bike","bike","bike","bike"
"718","1671","165","hike","r_2affhvy5io7wfc5","2","q1_2","hike","hike","hike","hike"
"719","1681","166","run","r_3kt9nd0e4v6x9ja","2","q1_2","run","run","run","run"
"720","1691","167","run","r_z0fcxkazkbwatyf","2","q1_2","run","run","run","run"
"721","1701","168","photography","r_2ebwmvtrxxn3lgb","2","q1_2","photography","photograph","photograph","photograph"
"722","1721","170","hike","r_1kh6keifvfgrgxm","2","q1_2","hike","hike","hike","hike"
"723","1731","171","photography","r_1ewc53aocuhboop","2","q1_2","photography","photograph","photograph","photograph"
"724","1741","172","dog walking","r_20tptfhdlnbebnu","2","q1_2","dog walking","walk pets","walk pets","walk pets"
"725","1761","174","run","r_2rrby6zfdxjooku","2","q1_2","run","run","run","run"
"726","1771","175","mountain biking","r_20y7kj2jybbtvhe","2","q1_2","mountain biking","mountain bike","mountain bike","mountain bike"
"727","1781","176","look at views","r_sfsroolgozc1bwv","2","q1_2","look at views","view scenery","view scenery","view scenery"
"728","1791","177","sight see","r_1myox8ruskq4026","2","q1_2","sight see","sightsee","sightsee and travel","sightsee and travel"
"729","1801","178","bike","r_3ngwvihz2y1inbc","2","q1_2","bike","bike","bike","bike"
"730","1811","179","backpack","r_zeucnt4zv6slt1d","2","q1_2","backpack","backpack","backpack","backpack"
"731","1821","180","jogging","r_2aazkndewymcsxf","2","q1_2","jogging","jog","run","run"
"732","1831","181","bike","r_dmpzgwcna9wgijn","2","q1_2","bike","bike","bike","bike"
"733","1841","182","find solitude","r_2rzmiyclysvjkmi","2","q1_2","find solitude","find solitude","solitude","solitude"
"734","1861","184","bike","r_r2hvnyld27vhoev","2","q1_2","bike","bike","bike","bike"
"735","1871","185","bike","r_1eip5rmznhg3i2p","2","q1_2","bike","bike","bike","bike"
"736","1881","186","tear up berms trying to ride like their favorite youtubers or bike ads","r_10twcuxgf2t46i1","2","q1_2","tear up berms trying to ride like their favorite youtubers or bike ads.","tear up berms trying to ride like their favorite youtubers or bike ads","tear up berms trying to ride like their favorite youtubers or bike ads","tear up berms trying to ride like their favorite youtubers or bike ads"
"737","1891","187","ride bikes","r_3hulnbrpghdx05n","2","q1_2","ride bikes","bike","bike","bike"
"738","1901","188","run","r_ah6vurl43mprfkn","2","q1_2","run","run","run","run"
"739","1911","189","hike","r_z0tqpeutibkzqsd","2","q1_2","hike","hike","hike","hike"
"740","1921","190","hiking","r_3k6ucloq9qccvx1","2","q1_2","hiking","hike","hike","hike"
"741","1931","191","bike","r_3honcer2wlhpws1","2","q1_2","bike","bike","bike","bike"
"742","1941","192","walk to metro","r_3ry4xqjuyjuqrvk","2","q1_2","walk to metro","walk to metro","walk to metro","walk to metro"
"743","1951","193","run","r_r4vutwhnjo14dbn","2","q1_2","run","run","run","run"
"744","1961","194","bird sighting","r_1ohxvhe5virzhah","2","q1_2","bird sighting ","bird watch","bird view","bird view"
"745","1971","195","ride wheelchair","r_3fezbmtwow1tecr","2","q1_2","ride wheelchair","ride wheelchair","ride wheelchair","ride wheelchair"
"746","1981","196","hike","r_01jhiazmyudef5t","2","q1_2","hike","hike","hike","hike"
"747","1991","197","conversation","r_qreerujetr9sted","2","q1_2","conversation","conversation","socialize","socialize"
"748","2001","198","bike","r_3lemucoosp6cquc","2","q1_2","bike","bike","bike","bike"
"749","2011","199","walk dog","r_3hs1sh4x6jqylsk","2","q1_2","walk dog","walk pets","walk pets","walk pets"
"750","2021","200","walk","r_8hx3snzzsx8fv85","2","q1_2","walk","walk","walk","walk"
"751","2031","201","run","r_1ceegzglapnwmc3","2","q1_2","run","run","run","run"
"752","2041","202","bike","r_1ey0moxw3qwus2e","2","q1_2","bike","bike","bike","bike"
"753","2051","203","hike","r_1nvj9vji0savau3","2","q1_2","hike","hike","hike","hike"
"754","2061","204","mountain bike","r_we7zhxfe1isqkqn","2","q1_2","mountain bike","mountain bike","mountain bike","mountain bike"
"755","2071","205","bike","r_1fs2ssfuwwpmzeu","2","q1_2","bike","bike","bike","bike"
"756","2081","206","enjoy the scenery","r_2wukjlsbzs6h5nc","2","q1_2","enjoy the scenery","enjoy scenery","enjoy scenery","enjoy scenery"
"757","2091","207","hike","r_10oxdvxs8uciwfc","2","q1_2","hike","hike","hike","hike"
"758","2101","208","foot travel","r_qyjb72qh2k8ovjr","2","q1_2","foot travel","foot travel","foot travel","foot travel"
"759","2111","209","run","r_1jvvwxpjh4diczb","2","q1_2","run","run","run","run"
"760","2121","210","hike","r_3o0t21u6h0fdi2o","2","q1_2","hike","hike","hike","hike"
"761","2131","211","run","r_2e5dwgikicwuhzg","2","q1_2","run","run","run","run"
"762","2141","212","hike","r_2yf9cviw6tr3f9y","2","q1_2","hike ","hike","hike","hike"
"763","2151","213","run","r_2sdbrpz7gxkbh7f","2","q1_2","run","run","run","run"
"764","2161","214","walk dogs","r_okaoqo0szyxbmp7","2","q1_2","walk dogs","walk pets","walk pets","walk pets"
"765","2171","215","hike","r_xxqjgtqbwleoe0x","2","q1_2","hike","hike","hike","hike"
"766","2181","216","bikes","r_336yezy255roxp0","2","q1_2","bikes","bike","bike","bike"
"767","2191","217","photos","r_1jvxwzvrj2qbfjc","2","q1_2","photos","photograph","photograph","photograph"
"768","2201","218","hike","r_wxsccvrdn6pwxed","2","q1_2","hike","hike","hike","hike"
"769","2211","219","walk","r_3oek9vljioaymec","2","q1_2","walk","walk","walk","walk"
"770","2221","220","hike","r_1fnpgxw2y5f38wo","2","q1_2","hike","hike","hike","hike"
"771","2231","221","bike","r_3rmoj01kvilypmc","2","q1_2","bike ","bike","bike","bike"
"772","2241","222","exercise","r_25bl4obcwvrvadb","2","q1_2","exercise","exercise","exercise","exercise"
"773","2251","223","bike","r_3jl9sst3rbwlfdh","2","q1_2","bike","bike","bike","bike"
"774","2261","224","hike","r_wnsulfy46bsdign","2","q1_2","hike","hike","hike","hike"
"775","2271","225","hike","r_2ze6ffigjppspsv","2","q1_2","hike ","hike","hike","hike"
"776","2281","226","hike","r_1jjdfgjtk36yuvr","2","q1_2","hike","hike","hike","hike"
"777","2291","227","rock climb (off of trails i suppose)","r_3ojypcxihadfd3m","2","q1_2","rock climb (off of trails i suppose)","rock climb","rock climb","rock climb"
"778","2301","228","hike","r_1rplgpxlj2c0vzd","2","q1_2","hike","hike","hike","hike"
"779","2311","229","hike","r_3fdjqwhhi4hyzcu","2","q1_2","hike","hike","hike","hike"
"780","2321","230","bike","r_2v4hskgleobyal3","2","q1_2","bike","bike","bike","bike"
"781","2331","231","plant id","r_1dvvjhgt56hdddv","2","q1_2","plant id","identify plants","identify plants","identify plants"
"782","2341","232","fish","r_3qriw87stemnkjq","2","q1_2","fish","fish","fish","fish"
"783","2351","233","hike","r_1g5ezd8q7pj7tb4","2","q1_2","hike","hike","hike","hike"
"784","2361","234","walk","r_odvvye3kffg0t61","2","q1_2","walk","walk","walk","walk"
"785","2371","235","bicycle","r_1mvgfgj3bokgarn","2","q1_2","bicycle","bike","bike","bike"
"786","2381","236","trail running","r_1ndoervt2trixkt","2","q1_2","trail running","trail run","trail run","run"
"787","2391","237","hiking","r_3lxh5fpqn24bgfn","2","q1_2","hiking","hike","hike","hike"
"788","2401","238","hike","r_efixuor5intsqr7","2","q1_2","hike","hike","hike","hike"
"789","2421","240","hike","r_vdhxgdhawvt6b1v","2","q1_2","hike","hike","hike","hike"
"790","2431","241","ebike","r_3of3fb1dpcakbab","2","q1_2","ebike","ebike","ebike","ebike"
"791","2441","242","run","r_zdryjm64mz9cmk1","2","q1_2","run","run","run","run"
"792","2451","243","bike","r_3izmqjwwjzmcogc","2","q1_2","bike","bike","bike","bike"
"793","2461","244","jog","r_33vapuenmhlzi4o","2","q1_2","jog","jog","run","run"
"794","2471","245","biking","r_2ciyz97wreil1io","2","q1_2","biking","bike","bike","bike"
"795","2481","246","look at the environment","r_25x9awvwplsswy5","2","q1_2","look at the environment","look at the environment","view the environment","view the environment"
"796","2491","247","run","r_3exfgr1ebpqzjne","2","q1_2","run","run","run","run"
"797","2501","248","run","r_sdglchzm0s3igsx","2","q1_2","run","run","run","run"
"798","2511","249","walk","r_q9rkdhxpvolj9jf","2","q1_2","walk ","walk","walk","walk"
"799","2521","250","recreational riding","r_thmhuw03jg343u5","2","q1_2","recreational riding","recreational ride","recreational ride","recreational ride"
"800","2531","251","hike","r_1fsm7l0vp24df1n","2","q1_2","hike ","hike","hike","hike"
"801","2541","252","walk","r_302weuexry76szy","2","q1_2","walk","walk","walk","walk"
"802","2551","253","bike","r_1ckg2nx2q5og10w","2","q1_2","bike","bike","bike","bike"
"803","2561","254","run","r_1m0b6kcxpadwidb","2","q1_2","run","run","run","run"
"804","2571","255","listen and look for birds`","r_2v2kmi40lins2lp","2","q1_2","listen and look for birds`","listen and look for birds","listen and search for birds","listen and search for birds"
"805","2581","256","hiking, walking","r_3n2xq0ww34thajr","2","q1_2","hiking, walking","walk or hike","walk or hike","walk or hike"
"806","2591","257","fish","r_3czxhrhum95tzxp","2","q1_2","fish","fish","fish","fish"
"807","2601","258","run","r_3lbfxzvqe8i0djs","2","q1_2","run","run","run","run"
"808","2611","259","go shopping","r_voxnxf4ccmcggrx","2","q1_2","go shopping","go shopping","go shopping","go shopping"
"809","2621","260","horseback riding","r_vojkdoblrnxj1hx","2","q1_2","horseback riding","horseback ride","horseback ride","horseback ride"
"810","2631","261","enjoy nature","r_rabswxwsczeuhul","2","q1_2","enjoy nature","enjoy nature","enjoy nature","enjoy nature"
"811","2641","262","run","r_2zpmrmf7acvwxzk","2","q1_2","run","run","run","run"
"812","2651","263","biking","r_12dz3pai5jl1ni5","2","q1_2","biking","bike","bike","bike"
"813","2661","264","bike","r_1iqakxvf2nvczuw","2","q1_2","bike","bike","bike","bike"
"814","2671","265","hike","r_2y2qxlksgc9lwd1","2","q1_2","hike","hike","hike","hike"
"815","2681","266","biking","r_1nahnbd0843dsrl","2","q1_2","biking","bike","bike","bike"
"816","2691","267","maintain trails","r_2fi12xqydvsicxe","2","q1_2","maintain trails","maintain trails","maintain trail","maintain trail"
"817","2701","268","mountain biking","r_3rznd0oruvrxd8e","2","q1_2","mountain biking","mountain bike","mountain bike","mountain bike"
"818","2711","269","hike","r_1o5zhxomdx0ekej","2","q1_2","hike","hike","hike","hike"
"819","2721","270","scenic views","r_1ejhlps68dusl92","2","q1_2","scenic views","scenic vista","scenic vista","scenic vista"
"820","2731","271","camp","r_8bkn69xnkkr1a5z","2","q1_2","camp","camp","camp","camp"
"821","2741","272","run","r_3gy7th0xs0p3tmx","2","q1_2","run","run","run","run"
"822","2751","273","hike","r_3g4mz2tnzcaogtw","2","q1_2","hike","hike","hike","hike"
"823","2761","274","exercise dogs","r_0vrp1mgmzvqlztz","2","q1_2","exercise dogs","exercise dogs","exercise dogs","exercise dogs"
"824","2771","275","rest","r_2y954dhb1xcpgow","2","q1_2","rest","rest","rest","relax, rest and unwind"
"825","2781","276","ride horses","r_3moqtymhplr6055","2","q1_2","ride horses","horseback ride","horseback ride","horseback ride"
"826","2791","277","run","r_2qodnf01ookxliu","2","q1_2","run","run","run","run"
"827","2801","278","cross country ski","r_cfsu3eczerekwo5","2","q1_2","cross-country ski","cross country ski","cross country ski","cross country ski"
"828","2811","279","swim","r_2wtdzlg8zzvlbk8","2","q1_2","swim","swim","swim","swim"
"829","2821","280","ride horses","r_2xdo9frnhnnw5jn","2","q1_2","ride horses","horseback ride","horseback ride","horseback ride"
"830","2831","281","take photos","r_3kocmme4zoxavgv","2","q1_2","take photos","photograph","photograph","photograph"
"831","2841","282","hike","r_3p9dj3gdyvqafbe","2","q1_2","hike","hike","hike","hike"
"832","2851","283","walk","r_3eu9g4oyql9qkai","2","q1_2","walk","walk","walk","walk"
"833","2861","284","get exercise","r_10pfmh0z97qnfzu","2","q1_2","get exercise","exercise","exercise","exercise"
"834","2871","285","jog","r_6fmvtlxw5viacxz","2","q1_2","jog","jog","run","run"
"835","2881","286","hike","r_3hospmfr7mrps2q","2","q1_2","hike","hike","hike","hike"
"836","2891","287","hike","r_2cm2esihuior1hp","2","q1_2","hike","hike","hike","hike"
"837","2901","288","hike","r_4gcc4r4taigy4cf","2","q1_2","hike ","hike","hike","hike"
"838","2911","289","hike","r_20nvter0jim8gia","2","q1_2","hike","hike","hike","hike"
"839","2921","290","surrounded by nature","r_1koja9aj4fifncm","2","q1_2","surrounded by nature","surrounded by nature","surrounded by nature","surrounded by nature"
"840","2931","291","train horses","r_aiigxpwnci9rnwh","2","q1_2","train horses","train horses","train horses","train horses"
"841","2941","292","hike","r_24tsbmosx8btpot","2","q1_2","hike","hike","hike","hike"
"842","2961","294","observe","r_25scenh2gjjpndp","2","q1_2","observe","observe","view","view"
"843","2971","295","hiking","r_3r22t9ndvhqmcyr","2","q1_2","hiking","hike","hike","hike"
"844","2981","296","hike","r_qou4lcf0mxxsq1x","2","q1_2","hike","hike","hike","hike"
"845","2991","297","hike","r_3ez67dsyxn4nn2f","2","q1_2","hike","hike","hike","hike"
"846","3001","298","biking","r_2ti9t2xj3zgohin","2","q1_2","biking","bike","bike","bike"
"847","3011","299","walk dogs","r_adrwcs2l12zardn","2","q1_2","walk dogs","walk pets","walk pets","walk pets"
"848","3021","300","pack mules and horses","r_3exewjnvph4zpib","2","q1_2","pack mules and horses","pack mules and horses","pack mules and horses","pack mules and horses"
"849","3031","301","hike","r_2dsqu2gzrrk1pmy","2","q1_2","hike","hike","hike","hike"
"850","3041","302","horse ride","r_2r8hnnx8okkepi3","2","q1_2","horse ride","horseback ride","horseback ride","horseback ride"
"851","3061","304","hike","r_1rpldu5rfbccbme","2","q1_2","hike","hike","hike","hike"
"852","3071","305","trail maintenace","r_1ejvdbk90ucay7f","2","q1_2","trail maintenace","maintain trails","maintain trail","maintain trail"
"853","3081","306","motorcycles/dirtbikes","r_3gea793ralqidsd","2","q1_2","motorcycles/dirtbikes","motorcycles/dirtbike","motorcycles/dirtbike","motorcycles/dirtbike"
"854","3091","307","walk or hike","r_25ybwxdzndmtthq","2","q1_2","walk or hike","walk or hike","walk or hike","walk or hike"
"855","3101","308","hike","r_3hazh9smtw8btev","2","q1_2","hike","hike","hike","hike"
"856","3111","309","hike","r_2tod2z0l5icdhhq","2","q1_2","hike","hike","hike","hike"
"857","3121","310","hike","r_2rv5dl42gzhh07p","2","q1_2","hike","hike","hike","hike"
"858","3131","311","hike","r_axz3hjtbngocr0z","2","q1_2","hike","hike","hike","hike"
"859","3141","312","hike","r_2u7hxu8ezwvlood","2","q1_2","hike","hike","hike","hike"
"860","3151","313","take pictures","r_uexw3hbbvkokyxt","2","q1_2","take pictures ","photograph","photograph","photograph"
"861","3161","314","hike","r_1mnomwxgaatbmfn","2","q1_2","hike","hike","hike","hike"
"862","3171","315","run","r_w0vdjjsxpryj8yd","2","q1_2","run","run","run","run"
"863","3181","316","hike","r_0ihhzyqfvslig6r","2","q1_2","hike","hike","hike","hike"
"864","3191","317","take pictures","r_rrjsybdqifv0inx","2","q1_2","take pictures","photograph","photograph","photograph"
"865","3201","318","bike","r_3mgqselfspehgma","2","q1_2","bike ","bike","bike","bike"
"866","3211","319","hike","r_ejxawayjw8uk4x3","2","q1_2","hike ","hike","hike","hike"
"867","3221","320","backpack","r_3hvnfsfv68qfknh","2","q1_2","backpack","backpack","backpack","backpack"
"868","3231","321","backpack","r_2viz0ojkug6d8sm","2","q1_2","backpack","backpack","backpack","backpack"
"869","3241","322","take pictures","r_3pgjm4gbops7qc1","2","q1_2","take pictures","photograph","photograph","photograph"
"870","3251","323","backpack","r_3phodbg9rfojrqp","2","q1_2","backpack","backpack","backpack","backpack"
"871","3261","324","walk","r_1clmns3r3ova2r4","2","q1_2","walk","walk","walk","walk"
"872","3271","325","backpack","r_3g9atm3mvpe5cd1","2","q1_2","backpack","backpack","backpack","backpack"
"873","3281","326","run","r_2bzdznbivj33xp2","2","q1_2","run","run","run","run"
"874","3291","327","exercise","r_3iysqcxd8t8sqek","2","q1_2","exercise","exercise","exercise","exercise"
"875","3301","328","bicycles","r_3wqw4y9tpulo8cz","2","q1_2","bicycles","bike","bike","bike"
"876","3321","330","bike","r_vlqy9y62hjmd7rp","2","q1_2","bike","bike","bike","bike"
"877","3331","331","backcountry camping","r_2chygcqrjr5ubzo","2","q1_2","backcountry camping","backcountry camp","backcountry camp","backcountry camp"
"878","3341","332","ride horses","r_214ihwqpcorapjg","2","q1_2","ride horses","horseback ride","horseback ride","horseback ride"
"879","3351","333","run","r_bean4i0vrttadcn","2","q1_2","run","run","run","run"
"880","3361","334","hike","r_edhnf33bs1vckof","2","q1_2","hike","hike","hike","hike"
"881","3371","335","hiking","r_2evw8pc9f9ccp0d","2","q1_2","hiking","hike","hike","hike"
"882","3381","336","plant identification","r_2psrpul6xbthkrn","2","q1_2","plant identification ","identify plants","identify plants","identify plants"
"883","3391","337","solitude","r_2d5hz5kftoidhiy","2","q1_2","solitude","solitude","solitude","solitude"
"884","3411","339","hiking","r_1dhg3oqpogqg5qo","2","q1_2","hiking","hike","hike","hike"
"885","3421","340","hike","r_2w0t68vgwyyittn","2","q1_2","hike","hike","hike","hike"
"886","3431","341","walk dogs","r_1pseqs4lilwprzx","2","q1_2","walk dogs","walk pets","walk pets","walk pets"
"887","3441","342","walk dogs","r_uppa24cwegoogex","2","q1_2","walk dogs","walk pets","walk pets","walk pets"
"888","3451","343","hiking","r_1cxbu6vqhpem55v","2","q1_2","hiking","hike","hike","hike"
"889","3461","344","biking","r_2wagbak4njnhzt3","2","q1_2","biking ","bike","bike","bike"
"890","3471","345","hiking","r_y5oou6yfuzpqajt","2","q1_2","hiking ","hike","hike","hike"
"891","3481","346","have lunch","r_2aplg8hp9qpwdjf","2","q1_2","have lunch","eat","eat","eat"
"892","3491","347","run","r_2a99h1pczojwowl","2","q1_2","run","run","run","run"
"893","3501","348","walk","r_29ccsl9utzpqkuf","2","q1_2","walk","walk","walk","walk"
